epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1081.56,0.45112,1.18387,0.45668,0.88602,0.93509,0.89266,0.95242,0.88763,0.93175,0.88992,0.94165,0.6086,0.39045,1.41588,0.43527,0.85659,0.000475052,0.000475052,0.000475052
81,1094.78,0.47924,1.25145,0.4715,0.90721,0.95621,0.91893,0.96228,0.89725,0.95268,0.91479,0.95035,0.64564,0.4027,1.26042,0.4019,0.85258,0.000469786,0.000469786,0.000469786
82,1107.05,0.45178,1.21401,0.43723,0.87267,0.93379,0.92039,0.96743,0.90018,0.93104,0.91727,0.95577,0.63968,0.40767,1.27506,0.40695,0.86202,0.000464493,0.000464493,0.000464493
83,1119.97,0.45459,1.16882,0.44216,0.88742,0.94707,0.91056,0.96241,0.89896,0.94753,0.90524,0.95156,0.63262,0.3953,1.28954,0.40122,0.85409,0.000459174,0.000459174,0.000459174
84,1132.75,0.4641,1.21457,0.43415,0.88038,0.931,0.93429,0.96676,0.89388,0.92605,0.92928,0.95283,0.61773,0.40983,1.42556,0.38287,0.86213,0.000453831,0.000453831,0.000453831
85,1145.96,0.44417,1.15727,0.43053,0.88972,0.94413,0.90952,0.9663,0.90247,0.93932,0.90481,0.95199,0.66037,0.39696,1.1762,0.39956,0.85609,0.000448464,0.000448464,0.000448464
86,1158.44,0.47494,1.21232,0.45941,0.89673,0.97254,0.91815,0.97231,0.90698,0.9702,0.91573,0.95919,0.64774,0.40905,1.24247,0.37115,0.86176,0.000443077,0.000443077,0.000443077
87,1171.35,0.46157,1.26693,0.45747,0.89783,0.95733,0.9129,0.96565,0.89603,0.95133,0.90664,0.94465,0.61092,0.42841,1.47321,0.40607,0.86726,0.000437668,0.000437668,0.000437668
88,1184.51,0.47128,1.25251,0.43443,0.89449,0.95497,0.92395,0.97115,0.90113,0.95911,0.91219,0.95744,0.64577,0.40235,1.29305,0.36524,0.86093,0.000432241,0.000432241,0.000432241
89,1196.78,0.45405,1.23865,0.45285,0.88407,0.93156,0.9189,0.96414,0.8988,0.93001,0.91518,0.95599,0.64239,0.40315,1.27578,0.38868,0.85973,0.000426796,0.000426796,0.000426796
90,1210.16,0.45292,1.20554,0.43294,0.89026,0.92057,0.9173,0.95653,0.88613,0.93891,0.88532,0.93173,0.62857,0.40089,1.2638,0.4055,0.85733,0.000421335,0.000421335,0.000421335
